,sample index,Time_Stamps,audio_file_name,image_file_name,class_name,class_name_v2,Layer number,Sample number,class_name_v3,X,Y,Z,Vx,Vy,Vz,Speed
0,1,0.0,sample_21_1.wav,sample_21_1.jpg,Laser-off,Laser-off,1.0,21,,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
1,2,0.04,sample_21_2.wav,sample_21_2.jpg,Defect-free,Defect-free,1.0,21,,0.0,-0.0,0.001,-0.074,-0.074,0.0,0.105
2,3,0.08,sample_21_3.wav,sample_21_3.jpg,Defect-free,Defect-free,1.0,21,,-0.01,0.015,-0.007,-0.051,0.026,-0.051,0.077
3,4,0.12,sample_21_4.wav,sample_21_4.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.007,0.016,0.01,0.173,-0.222,2.52,2.536
4,5,0.16,sample_21_5.wav,sample_21_5.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.111,0.123,-0.057,-1.864,1.662,-2.468,3.511
5,6,0.2,sample_21_6.wav,sample_21_6.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.12,0.135,-0.078,0.075,0.075,-0.376,0.391
6,7,0.24,sample_21_7.wav,sample_21_7.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.12,0.136,-0.096,0.076,-0.025,-0.254,0.266
7,8,0.28,sample_21_8.wav,sample_21_8.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.113,0.131,-0.103,0.295,-0.172,-0.319,0.467
8,9,0.32,sample_21_9.wav,sample_21_9.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.102,0.12,-0.117,0.177,-0.278,-0.152,0.363
9,10,0.36,sample_21_10.wav,sample_21_10.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.087,0.106,-0.112,0.246,-0.222,-0.049,0.335
10,11,0.4,sample_21_11.wav,sample_21_11.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.07,0.092,-0.098,0.418,-0.541,0.566,0.887
11,12,0.44,sample_21_12.wav,sample_21_12.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.056,0.079,-0.082,0.502,-0.377,0.553,0.836
12,13,0.48,sample_21_13.wav,sample_21_13.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.041,0.066,-0.065,0.203,-0.329,0.354,0.524
13,14,0.52,sample_21_14.wav,sample_21_14.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.028,0.054,-0.049,0.332,-0.434,0.51,0.747
14,15,0.56,sample_21_15.wav,sample_21_15.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.015,0.043,-0.034,0.431,-0.304,0.431,0.681
15,16,0.6,sample_21_16.wav,sample_21_16.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.007,0.035,-0.024,0.175,-0.025,0.226,0.287
16,17,0.64,sample_21_17.wav,sample_21_17.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.002,0.031,-0.018,0.3,-0.15,0.3,0.45
17,18,0.68,sample_21_18.wav,sample_21_18.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.001,0.027,-0.015,0.121,-0.024,0.024,0.126
18,19,0.72,sample_21_19.wav,sample_21_19.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.003,0.025,-0.012,0.0,-0.05,0.0,0.05
19,20,0.76,sample_21_20.wav,sample_21_20.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.023,-0.011,0.0,-0.151,0.1,0.181
20,21,0.8,sample_21_21.wav,sample_21_21.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.023,-0.011,0.051,0.051,0.0,0.072
21,22,0.84,sample_21_22.wav,sample_21_22.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.005,0.022,-0.01,-0.073,0.122,-0.147,0.205
22,23,0.88,sample_21_23.wav,sample_21_23.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.005,0.021,-0.009,0.0,-0.123,0.074,0.143
